Protein,AmbiguityIndex,OptimalQuality,MaxQuality
1ab1_A_A,0,8,8
1bq8_A_A,0,8,8
1bx7_A_A,0,8,8
1bxy_A_A,0,8,8
1bxy_B_B,0,8,8
1fd3_A_A,0,8,8
1fs1_A_A,0,8,8
1fs1_C_C,0,8,8
1j8e_A_A,0,8,8
1knt_A_A,0,8,8
1nh2_B_B,0,8,8
1ptq_A_A,0,8,8
1tgr_A_A,0,8,8
1upt_B_B,0,8,8
1upt_D_D,0,8,8
1vzm_B_B,0,8,8
2b9d_A_A,0,8,8
2b9d_B_B,0,8,8
2bti_A_A,0,8,8
2bti_B_B,0,8,8
2eq8_C_C,0,8,8
2erl_A_A,0,8,8
2fma_A_A,0,8,8
2gkr_I_I,0,8,8
2hba_A_A,0,8,8
2hwn_D_D,0,8,8
2wqi_D_D,0,8,8
2xf5_B_B,0,8,8
2xf7_A_A,0,8,8
2y20_A_A,0,8,8
2z7f_I_I,0,8,8
3a1g_B_B,0,8,8
3a1g_D_D,0,8,8
3im3_A_A,0,8,8
3kz5_B_B,0,8,8
3kz5_E_E,0,8,8
3l32_A_A,0,8,8
3l32_B_B,0,8,8
3lpe_B_B,0,8,8
3mcb_A_A,0,8,8
3mcb_B_B,0,8,8
3mmy_D_D,0,8,8
3mmy_F_F,0,8,8
3ngg_B_B,0,8,8
3tvj_I_I,0,8,8
3u7t_A_A,0,8,8
3vej_B_B,0,8,8
3zoq_B_B,0,8,8
3zoq_C_C,0,8,8
4aqr_D_D,0,8,8
4e1p_A_A,0,8,8
4e1p_B_B,0,8,8
4e5r_A_A,0,8,8
4goe_A_A,0,8,8
4hkd_B_B,0,8,8
4j8c_A_A,0,8,8
4j8c_B_B,0,8,8
4jnu_A_A,0,8,8
4jnu_B_B,0,8,8
4jqu_B_B,0,8,8
4npd_A_A,0,8,8
4ue8_B_B,0,8,8
4ued_B_B,0,8,8
4wwr_F_F,0,8,8
4xo1_A_A,0,8,8
4xo2_A_A,0,8,8
4zce_B_B,0,8,8
5exh_C_C,0,8,8
5hob_F_F,0,8,8
5jr5_A_A,0,8,8
5kko_C_C,0,8,8
5kko_D_D,0,8,8
5w5c_A_A,0,8,8
6asd_C_C,0,8,8
6e6o_A_A,0,8,8
6e33_A_A,0,8,8
6o19_A_A,0,8,8
6okd_C_C,0,8,8
6okd_D_D,0,8,8
6ro6_A_A,0,8,8
6ro6_B_B,0,8,8
6tj6_C_C,0,8,8
6z2t_A_A,0,8,8
7jfl_C_C,0,8,8
7jfl_D_D,0,8,8
7lp1_A_A,0,8,8
7sao_A_A,0,8,8
7t9q_A_A,0,8,8
